intent_localised_id,intent_localised,language
8d788385431273d11e8b43bb78f3aa41,teacher,eng
1f6f42334e1709a4e0f9922ad789912b,tutor,eng
f0dc81a8a980333e911f475b62f6f238,speaker,eng
7454739e907f5595ae61d84b8547f574,partner,eng
a2f2ed4f8ebc2cbb4c21a29dc40ab61d,class,eng
7516c3b35580b3490248629cff5e498c,school,eng
71f1743a7e335df5df56aa1eac336cc6,CNAVT,eng
340cd1dcf5d3871fa2584362194cc4fe,NT2,eng
90d991b47098ceef3d8283a386cf7e91,ACT,eng
513bcfa2b82dc1735a07b97b7f870106,BEC,eng
78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,eng
f6b49b7da62a112311f1af06a5742e9f,FCE,eng
7706998cba9c59295e0416087833034c,ICAS,eng
34c3c72c9244d4a381975e146a319c44,OET,eng
98e2fdd174d9b634e49d4361be026730,DELF,eng
90652aab8896c856edca211d4c66c90d,TEF,eng
5906c748ae2170f0259fa3f4abeb149b,TFI,eng
fc5468372d5a5ebd99728eeedc5ba3a4,DSH,eng
4f5d3489a65f3d91403dd5d9e5329bee,BJT,eng
654de024829ac2d0d4be16e225160d9f,EJU,eng
4f5a8531996a690828de388828410330,CELPE,eng
d187e257009dd94dbcb96c6da6f1812d,DIPLE,eng
4cd8413207629a963225f4314b53adcd,Plain,eng
fd1dd0c603be8170f9eae0be9f2f6afb,Direct,eng
637d5dd1f16a4cc1d923588cb55ede49,دورة,ara
f6b49b7da62a112311f1af06a5742e9f,FCE,ara
b66068cf75e5acb6cf1af2ad1d0642ed,Exam,eng
c0a0d10fc018c11948d2472b6038a9c0,CELI,eng
e4218269679e8d10256d8574118f308e,HSK,eng
3c3cec74241178c326af9ecc748f8a5e,GMAT,ara
b73014f259c910e9bb163ac74d4ea3d2,DALF,ara
684e1388a91900480c702ac5b8f6b4d8,SAT,ara
90652aab8896c856edca211d4c66c90d,TEF,ara
fc5468372d5a5ebd99728eeedc5ba3a4,DSH,ara
f5fb0d4ea357163633d268f629a62a95,TOCFL,ara
f36d9d9d23b9ac62a0b3f82309536760,SIELE,ara
674fb279983522fde4ee7cf0fc27b277,تدريب,ara
2cd1c6ecec2c6d908b3ed66d4ea7b902,study,eng
aa8af3ebe14831a7cd1b6d1383a03755,chat,eng
f6b49b7da62a112311f1af06a5742e9f,FCE,por
3c3cec74241178c326af9ecc748f8a5e,GMAT,por
654de024829ac2d0d4be16e225160d9f,EJU,ger
b52967cc88dc9ce2824dd87dcf7575d2,insegnante,ita
f36d9d9d23b9ac62a0b3f82309536760,SIELE,eng
33c0478b996aa76815627291a57e5689,improve,eng
b4d45708de4ddb301ffd4666a5949344,CAE,ara
1f8857d3b32243ed908283ef1570c001,IELTS,eng
f5fb0d4ea357163633d268f629a62a95,TOCFL,eng
0fc5f7359321646f36a359f92d7a3c0f,TORFL,eng
339d8d14024f2ae5c8dc2e07362eba1d,learn,eng
b24e9760291913eedc16833c977f976f,conversation,eng
71f1743a7e335df5df56aa1eac336cc6,CNAVT,ara
7706998cba9c59295e0416087833034c,ICAS,ara
34c3c72c9244d4a381975e146a319c44,OET,ara
d6e4c7a7b34a07c73a779bb15c341083,تدرّب,ara
b4d45708de4ddb301ffd4666a5949344,CAE,por
684e1388a91900480c702ac5b8f6b4d8,SAT,por
654de024829ac2d0d4be16e225160d9f,EJU,por
456c7996e5729627fddf96470e5e0948,cours,fre
e65da42c0d05488f54e2ccdee9a2d767,TOEIC,fre
1f8857d3b32243ed908283ef1570c001,IELTS,ger
ce382dc732a94f0fea953833111a42cf,TOEFL,ger
340cd1dcf5d3871fa2584362194cc4fe,NT2,ita
f6b49b7da62a112311f1af06a5742e9f,FCE,cht
8e5f3adee38c8fccc13c1f3be0143796,native,eng
8527c24d06d660c39c108577cd891cd9,PTE,eng
e65da42c0d05488f54e2ccdee9a2d767,TOEIC,eng
94e7f203ba80123f1182484c1c7351a7,TCF,eng
8c40400c009918b5f10b73f9a0e47398,practice,eng
8045a0a6c688b0635e3caccc408a1446,Generic,eng
c185ddac8b5a8f5aa23c5b80bc12d214,training,eng
3f2765db6765cddeb1642ff9b9bfe6c4,مدرّس,ara
2a1e0ca4d0aedc6d488d84ce27809256,امتحان,ara
046d47672cf6212d201d6e8b0c191e73,course,eng
2b266e62509986a999b9bb14b225c7b7,TestDaF,eng
ad6acac903e1b8b517a7f3be3080b665,CIPLE,eng
64b59718a47cf57a5e4f8443ff43d117,talk,eng
b85477812d3565b0d55e85d9513692f2,صف,ara
f1c3632a05a58e78dbd481f11b98d777,مدرسة,ara
98e2fdd174d9b634e49d4361be026730,DELF,ara
c0a0d10fc018c11948d2472b6038a9c0,CELI,ara
4a860b1ed2ad18d4a09a0ed2cce56210,SelfStudy,eng
63ab6736884d8d5066d7b376693bc2ce,lição,por
1d86ec4ce9d3a4cf793d052268bd1924,aula,por
b4d45708de4ddb301ffd4666a5949344,CAE,eng
ce382dc732a94f0fea953833111a42cf,TOEFL,eng
684e1388a91900480c702ac5b8f6b4d8,SAT,eng
178522587663ca1b2c3e10d8d1351a4c,DELE,eng
c815f09da90fdcb986a0e7bf4e732fb4,Preply,eng
5a02420ee1ee44d0f36448950669f2e1,معلم,ara
f23387d3c1374d5690639161b10d11a9,شريك,ara
340cd1dcf5d3871fa2584362194cc4fe,NT2,ara
90d991b47098ceef3d8283a386cf7e91,ACT,ara
5906c748ae2170f0259fa3f4abeb149b,TFI,ara
ad6acac903e1b8b517a7f3be3080b665,CIPLE,ara
