pk,language,market,account,account_id
810b085c1e39d0bd7bde52cde1f9da74,eng,ae,AR,673-471-4088
acfd0cdbdc8812158f7fda088d9f0d7b,ara,ae-bh-il-kw-om-qa-sa,AR,673-471-4088
769aa5be36c521851b04b9168d56c0c2,eng,aus-nzl,EN,690-902-8442
33dc6627d185022421aea732be98191c,eng,bh-kw-om-qa,AR,673-471-4088
413513a0b993d9716c64c977300732d7,eng,br,PT,369-499-6243
6c0efd6f2c0ed86c1ce65a32e7151beb,por,br,PT,369-499-6243
74203872d49cef41c45d28c9d1c690e8,fre,ca,EN,690-902-8442
22fcd87f814af150c298581f6211f657,eng,ch,DACH NL,475-645-9000
229a42d629917cda1aa471abcf2f33da,fre,ch,DACH NL,475-645-9000
a89e9df5cbbea591ed03ab47da578fd9,ita,ch,DACH NL,475-645-9000
cade97f29386d0089adf46f032819cea,cze,cz,NORD CENTRAL EU,887-560-8605
f3fdc8229fb2a6d6644076f7875968bd,eng,de-at,DACH NL,475-645-9000
4b1e62f9b8792058e460ec8da2b1eaa2,ger,de-at,DACH NL,475-645-9000
d904bfeab1165de3c39b0ce617914d79,dan,dk,NORD CENTRAL EU,887-560-8605
51a722273dbcde7e19da307cd9517032,eng,dk,NORD CENTRAL EU,887-560-8605
0fc92f4bc151ab84995bf0d14dc4a82c,spa,es,ES,795-735-5419
bf0725169dac38dca08c3959b6fff193,eng,fi,NORD CENTRAL EU,887-560-8605
b31f9452461741034fbe762603b72fc4,fin,fi,NORD CENTRAL EU,887-560-8605
7454f58f26d5b01eff91de5fbdc99285,eng,gb,EN,690-902-8442
41d5390ce6c704dd6562f4d07ad89dd3,eng,my,ASIA,854-934-9749
87dc582173d381c66b05d6bca5cc8cd7,dut,nl,DACH NL,475-645-9000
0e395a08378f4839a647359986d46628,eng,pl,IT PL,199-574-0772
c445bc516d4fd70563e2b4ee5754b137,pol,pl,IT PL,199-574-0772
1f49a7b59a57e1a003980a5df9766a39,ukr,pl,IT PL,199-574-0772
5a0066c813e1a18cb26d84099ce8d985,eng,sa,AR,673-471-4088
fa2400d4b3fd20b5526b3eb2d12f4cff,eng,tr,AR,673-471-4088
ceadd9dc5f2cf4731081e7bd7fa8e0df,tur,tr,AR,673-471-4088
e8aa68ff2a2dd16f7893e234461acaa8,spa,us,EN,690-902-8442
88135dafa9815590b0103b63d1221d6b,ara,ww,WW LANGUAGES,605-724-1232
b2d5151fab472424ae71ed32bc3b0a65,eng,ww,WW EN ,872-974-3047
edc36c7ba6bbdbc696e2d4c3be3d4428,fre,ww,WW LANGUAGES,605-724-1232
e644ef7f8033605b0ddcfd0da370759e,ukr,ww,WW LANGUAGES,605-724-1232
ac9c02f869a7116da818ba100c35a5f4,dut,ww,WW LANGUAGES,605-724-1232
a1bf97ed078066f824eb8196062da5f7,heb,ww,WW LANGUAGES,605-724-1232
73a4de08111ddb0ecdfb26796b44bda8,eng,ca,EN,690-902-8442
bb025309bae732e279770f3c9e962b45,pol,gb,EN,690-902-8442
d8216738cd09b6b4442cdf57c7c6604d,eng,it,ASIA,854-934-9749
