pk,pma,intent_localised,intent_localised_id
15710451ed9add3ff857cf53ca97ba93,person,teacher,8d788385431273d11e8b43bb78f3aa41
a8f2c25506385ed129faf039dc5b3acf,person,speaker,f0dc81a8a980333e911f475b62f6f238
296e18bd97216083e8302b40c1123f65,method,class,a2f2ed4f8ebc2cbb4c21a29dc40ab61d
f47d46fd3450ea2fd7d578d2d99d9123,method,chat,aa8af3ebe14831a7cd1b6d1383a03755
9979579a941ab9c87eb3678e2796537f,method,school,7516c3b35580b3490248629cff5e498c
47877dafee8f9da9215bcb7af833d6e7,method,CAEL,5a753229efb8128b16b50c38708c6638
d628e8403fd84a6049a9db1d79a1b0af,method,PTE,8527c24d06d660c39c108577cd891cd9
2eed7cdd94c9adfe3401f3c8234ca91c,action,study,2cd1c6ecec2c6d908b3ed66d4ea7b902
4771c7ed71e75cc53db76c5f6fff5bce,method,course,046d47672cf6212d201d6e8b0c191e73
fa2603c0ddd1fa33e5d3d5092958a00a,method,OET,34c3c72c9244d4a381975e146a319c44
980424e98612fa8683728d68d7a06969,method,BJT,4f5d3489a65f3d91403dd5d9e5329bee
9e20f562fe3d392ebefee828446b9089,method,JLPT,e6fa5be517968617c85b491c90d72cde
ec5bcbff812d866c6d935a4fbfb8596c,method,صف,b85477812d3565b0d55e85d9513692f2
1c29b229d5c8583b7297e3d4be1d49c1,method,دردشة,b7e100370972921405a5381f5a00fe3f
ab3850f39fe151ec7b1618735ccd5ca0,action,تحدث,9fee697d3c1684c9c253ed4d526860d7
77d73a5801d1d7179059ea1a449db210,action,تدرّب,d6e4c7a7b34a07c73a779bb15c341083
3854b45c5cd51776439b004e14901c54,method,دورة,637d5dd1f16a4cc1d923588cb55ede49
063599e4bffc50d2c62697b05171515c,method,TORFL,0fc5f7359321646f36a359f92d7a3c0f
280e5a085d42c8ac746a82dd02d953b8,person,nativo,a428c320148024680316bff752abd228
f525f52b7b3495910a0733da233c497f,person,Tutor*in,d54f752090714b0f73f8a5fca7d5bb0c
5d5947860c70afbf859be11677955225,method,Stunde,366705e2c00ca7775fa25bebf559acc1
77299ccde76cf29e7bb52d281aac5a97,person,δάσκαλος,cddc81f36fac942e41e287e7e68915af
bd2e10e73184e31738461731cd45cd65,action,εξασκώ,a683ea415e2149a97d0db0db9d76fec9
6b324301dc16282756298b31c479012a,person,夥伴,1289383a696f59012d1d6752394f9215
c3173605dc1ecf355debfb37875d4c25,method,ACT,90d991b47098ceef3d8283a386cf7e91
e494e5943a8fee1bb2175fee7f18c8ae,method,BEC,513bcfa2b82dc1735a07b97b7f870106
819039507442990011d6782cfea995b7,method,TOEFL,ce382dc732a94f0fea953833111a42cf
7c249ca1d8514cd053598ecb95f1bd06,method,SIELE,f36d9d9d23b9ac62a0b3f82309536760
6a2206270e43478925f23013d55829ea,generic,Generic,8045a0a6c688b0635e3caccc408a1446
51ea7cd17230ba97948e6f3bf78e375c,competitor,SelfStudy,4a860b1ed2ad18d4a09a0ed2cce56210
42e0f3ef1d68f71e508169ce764b26b3,action,conversation,b24e9760291913eedc16833c977f976f
938c27b5222dcf1d3b630d1cd9e87675,brand,Preply,c815f09da90fdcb986a0e7bf4e732fb4
28b5972db322afec7b4eb2e5f8843576,person,مدرّس,3f2765db6765cddeb1642ff9b9bfe6c4
4163a699c98fc553a965317ea912275c,method,درس,5169cbb2a14817982cf6299cfec24d41
e2721f3483fc36f0d5e7ba98437be733,method,CIPLE,ad6acac903e1b8b517a7f3be3080b665
9ad9e488e6b567be3b347fb6c7300908,action,talk,64b59718a47cf57a5e4f8443ff43d117
1983f35068818c9110ed77fce02ac45d,person,professor,3f9cd3c7b11eb1bae99dddb3d05da3c5
a7ba54ffc8eefe468781606875bfb3fd,method,exame,c77f6ffecb9c2177fe3c6ee85eab22f5
1878f7474ec9f773241cb537025224d2,action,conversação,2814ca1dc6aa376dd41f927bb2f93972
7ac400418630029af95af389cc25c499,method,cours,456c7996e5729627fddf96470e5e0948
385d3be535179ceb9e698691e7ce7896,method,Schule,f587e02939ff7f0474ad57eeb0e39e8c
84fb3533c8c8bcc675bb7f4227f4c9ec,action,konversation,eaceaaa75a82f5a5f05da4cf2d167f1d
710da5527b7cd7b1162511f9e8c1cac3,action,sich unterhalten,2156c684bd0b94174a8e8d157c8c74f9
eddafb78c7b11f17505f0549a26c7b0e,action,améliorer,1581a6d3fbc70c6a84465d49683c0fd4
37383c0dc6378ec079cfcbbfbb574e54,person,Profesores,043729807503bc970737f41e732e206b
dae801982da4ee038a48782f49d26151,action,poprawiać,a331bb0803eddd2b3b02c751db163a4f
9bb44f49a12b5770264f9bfba2f9b844,method,εκπαίδευση,b03258bd4480a093f2fba89573fdf974
f851f1669737dcfca14a8506f1d1d554,method,Cael,bc1c4c137e1cbbf75bc98ba4b45d440c
8d24a54008170f180266bac9bb11473e,method,Nationaal,d8ea5b5376c67e8cc4be98924bcca31d
ccbac52554b0a12e266651d0d90a7cfa,person,Muttersprachler*in,4146127520e388fc726cda626620d7aa
c6e1f422b256254d15606afd74b0319f,method,lezioni,f620d2b9aea5d2bd89983173a983d65c
97f471ab2f3dbf2b4aabbc8f5ba95842,method,esame,eb7552e2a95c2734882c4a63ce6bf43f
ce2960b3bdaa57034f47d7b77f4b6a40,person,Maestros,099b58384e69e1aa6a564aa8a1964847
811cf94a7686bf9362e2a97e31ec2e1a,action,Estudiar,7cc592de05a2046e25ba79b04b53387c
ed3f58914110a720feb494826c3a381e,action,Mejorar,4ae3ac35a3ff4a5920b63c0e120cd679
0a4219824ff96c1723f330764fda9874,competitor,Άμεσα,74bb897855369e20c9c0c840d47556f1
e4a639727d737b035c5f0b4f6dcfb1f9,action,對話,4768807ceb307c62cf7892fb7e7fc796
a4f282fe968683c9bb0c56beb04fafca,brand,הכשרה,479e8dd2cba424386ae41cdf387ee591
b9964f8e278ceb08bebaab3f7e7c847c,method,コース,107b5397e3000d3997aebaac42377a35
638e75285584368cd99337cccd77eda7,method,Icas,9407ee4ad80a428ad5a7efded6ddbde9
ef0194c77205d4ea5da78efeca51ebed,method,Oet,8d37c7829bdc15d7f91fd5c0f6047364
