subject_localised_id,subject_localised,language
272ccb8592bafde0baf1dedce0fd3ac2,Arabic,eng
a56dcb8443c25f8e14b47b8ff1748331,Bengali,eng
0c1be09bad2acaa2fa315b88abda8a32,Croatian,eng
83ff4480cdf2900ae83bf30d95774d76,Czech,eng
78463a384a5aa4fad5fa73e2f506ecfc,English,eng
ad225f707802ba118c22987186dd38e8,French,eng
4c545ca25c8a34a533be19e7a1c44a79,Icelandic,eng
2cfce796f4703d560ae1c3a1b3fb7e74,Irish,eng
9f564ebabc9cf0b9589b4ecf6228379a,Khmer,eng
76c06512227f8cd467f0008c8ec68f39,Mandarin,eng
41171a0fcd362ce98b5f0f11398713b6,Swedish,eng
fee973126d42389ac96082e9ca6961fa,Tagalog,eng
c1612bbdebfa45467e8ab814e08daff1,Turkish,eng
a24b0301a393ac7426cc2c7cd9c848d0,كرواتية,ara
004294cb82bb620ff5934816bd6a124a,هولندية,ara
d38922555bcd5d7d0c44e5996a4b1260,فنلندية,ara
8f74eddee6ca95c5d81ba8aaca78ef50,أحياء,ara
86bc3115eb4e9873ac96904a4a68e19e,German,eng
4be8e06d27bca7e1828f2fa9a49ca985,Italian,eng
30e32c7c4cf434e9c75e60c14c442541,Portuguese,eng
4994a8ffeba4ac3140beb89e8d41f174,Language,eng
50ae99e9c35446c2580e4b540b0fd104,Physics,eng
8af670b318fee883740d248df3f26c86,دنماركية,ara
9b0001686878d023b24e784ac95a29f2,سنسكريتية,ara
7d8fd21e770b9f0fd6f9f78e30fc640c,Tibetano,por
b3e015bf50224e0d62c1f135eaf19641,Tchèque,fre
76c06512227f8cd467f0008c8ec68f39,Mandarin,ger
e78a6fc14ad64f7a78386b20568ce95b,Ukrainian,eng
7b80fae85640c16cdb0261bef0c27636,Vietnamese,eng
45c3171ef193c74b402f407fba9d955b,Hindi,eng
c91fcc8ede033ecc29f92b7855309d83,Quran,eng
8f4e7c5f66d6ee5698c01de29affc562,Algebra,eng
47dcbd834e669233d7eb8a51456ed217,Music,eng
c6a240993d50011902f1048e95545f75,عربية,ara
1a78f5bfafb35dcba51f38917481fb66,إنجليزية,ara
b3db92e98fc166fd09b573b9b4055397,جبر,ara
2acdea7474cb3f47ae49358e64b6cc7b,كيمياء,ara
269b10c5f9927461583b39cd69e07ced,القرآن,ara
1c41561f2c32abae4c3fdbcd89ad4466,Cantonês,por
b722486e44630eb52626a08409a091ae,Finlandês,por
e57c6433535f29197eea342c0fa99685,Indonésio,por
24dbc52bfa088eaad28456a8b1eccd9e,Arabe,fre
0cd5930eeeea6e3edee6749d91b3aa05,Cantonais,fre
f558ae4a08959c6c239fceb77c144cb4,Allemand,fre
7280578e6a45fd916ed9431425289c9e,Latin,fre
9ceb546dadc0d722a84e0b62d6a81812,Roumain,fre
6051357d17917efb63edfe7691b109b0,Vietnamien,fre
dd4e4349c243bb12810564240facdb40,Koreanisch,ger
93ece5dabab7dcb550d8f81b3ae5b4d5,Norwegisch,ger
d84f5f223e29a650c524f38dfc137165,Portugués,spa
1955536e890ed6046f2592c699aad590,荷兰语,cht
3c90d01ef1437244fe68e7cda40c9015,ウルドゥー語,jpn
5c64b40c0c7d5e90d83e0a9bb98e88f5,ألمانية,ara
3025f3a70df2b7d590d11acb328010fd,Vietnamita,por
45c3171ef193c74b402f407fba9d955b,Hindi,fre
6a77de34cb21ce61732b71a27825c63a,Espagnol,fre
d587742c4a09821cfad10b52a69e0ea3,Telougou,fre
f8aa4393427c2f2fd010f7adc5812517,Urdu,ger
2f327580fa61447b4ef7af6b0ecdd2d1,Francês,por
319be822a88df6a7585360f99e2b62f8,Englisch,ger
36c60a229c66cc278467d85f29a0e4a5,Greco,ita
3025f3a70df2b7d590d11acb328010fd,Vietnamita,ita
4e5bf66076120955b354fb13ac96577e,インドネシア語,jpn
